"April 20, 2021 at 09:01PM",pos_4_2,AP1,AP2,AP3
"April 25, 2021 at 04:25PM",pos_4_2,-49,-41,-38
"April 25, 2021 at 04:25PM",pos_4_2,-49,-33,-42
"April 25, 2021 at 04:25PM",pos_4_2,-52,-31,-54
"April 25, 2021 at 04:25PM",pos_4_2,-52,-30,-50
"April 25, 2021 at 04:25PM",pos_4_2,-51,-35,-48
"April 25, 2021 at 04:26PM",pos_4_2,-51,-36,-50
"April 25, 2021 at 04:26PM",pos_4_2,-50,-33,-50
"April 25, 2021 at 04:26PM",pos_4_2,-49,-39,-50
"April 25, 2021 at 04:26PM",pos_4_2,-50,-39,-40
"April 25, 2021 at 04:32PM",pos_4_2,-49,-43,-41
"April 25, 2021 at 04:32PM",pos_4_2,-48,-30,-42
"April 25, 2021 at 04:32PM",pos_4_2,-50,-38,-52
"April 25, 2021 at 04:32PM",pos_4_2,-49,-36,-39
"April 25, 2021 at 04:32PM",pos_4_2,-51,-32,-53
"April 25, 2021 at 04:33PM",pos_4_2,-50,-30,-52
"April 25, 2021 at 04:33PM",pos_4_2,-53,-37,-55
"April 25, 2021 at 04:33PM",pos_4_2,-50,-31,-52
"April 25, 2021 at 04:33PM",pos_4_2,-51,-35,-41
"April 25, 2021 at 04:33PM",pos_4_2,-49,-35,-49
"April 25, 2021 at 04:34PM",pos_4_2,-48,-35,-49
"April 25, 2021 at 04:34PM",pos_4_2,-52,-35,-47
"April 25, 2021 at 04:34PM",pos_4_2,-50,-36,-49
"April 25, 2021 at 04:34PM",pos_4_2,-48,-43,-48
"April 25, 2021 at 04:34PM",pos_4_2,-48,-42,-50
"April 25, 2021 at 04:34PM",pos_4_2,-49,-36,-50
"April 25, 2021 at 04:35PM",pos_4_2,-49,-37,-55
"April 25, 2021 at 04:35PM",pos_4_2,-49,-33,-56
"April 25, 2021 at 04:35PM",pos_4_2,-45,-36,-50
"April 25, 2021 at 04:35PM",pos_4_2,-49,-45,-59
"April 25, 2021 at 04:35PM",pos_4_2,-47,-30,-54
"April 25, 2021 at 04:36PM",pos_4_2,-46,-31,-49
"April 25, 2021 at 04:36PM",pos_4_2,-48,-32,-45
"April 25, 2021 at 04:36PM",pos_4_2,-49,-32,-43
"April 25, 2021 at 04:36PM",pos_4_2,-49,-42,-43
"April 25, 2021 at 04:36PM",pos_4_2,-48,-49,-53
"April 25, 2021 at 04:37PM",pos_4_2,-48,-47,-39
"April 25, 2021 at 04:37PM",pos_4_2,-50,-47,-40
"April 25, 2021 at 04:37PM",pos_4_2,-43,-39,-40
"April 25, 2021 at 04:37PM",pos_4_2,-49,-48,-53
"April 25, 2021 at 04:37PM",pos_4_2,-54,-48,-52
"April 25, 2021 at 04:38PM",pos_4_2,-49,-49,-51
"April 25, 2021 at 04:38PM",pos_4_2,-55,-42,-47
"April 25, 2021 at 04:38PM",pos_4_2,-48,-49,-56
"April 25, 2021 at 04:38PM",pos_4_2,-50,-34,-49
"April 25, 2021 at 04:38PM",pos_4_2,-49,-32,-49
"April 25, 2021 at 04:39PM",pos_4_2,-49,-39,-52
"April 25, 2021 at 04:39PM",pos_4_2,-42,-37,-52
"April 25, 2021 at 04:39PM",pos_4_2,-53,-45,-52
"April 25, 2021 at 04:39PM",pos_4_2,-49,-44,-53
"April 25, 2021 at 04:39PM",pos_4_2,-52,-49,-47
"April 25, 2021 at 04:40PM",pos_4_2,-51,-40,-47
"April 25, 2021 at 04:40PM",pos_4_2,-51,-40,-42
"April 25, 2021 at 04:40PM",pos_4_2,-49,-47,-41
"April 25, 2021 at 04:40PM",pos_4_2,-51,-40,-48
"April 25, 2021 at 04:40PM",pos_4_2,-54,-43,-41
"April 25, 2021 at 04:40PM",pos_4_2,-54,-33,-48
"April 25, 2021 at 04:41PM",pos_4_2,-51,-50,-57
"April 25, 2021 at 04:41PM",pos_4_2,-51,-38,-49
"April 25, 2021 at 04:41PM",pos_4_2,-51,-39,-48
"April 25, 2021 at 04:41PM",pos_4_2,-52,-38,-47
"April 25, 2021 at 04:41PM",pos_4_2,-50,-39,-40
"April 25, 2021 at 04:42PM",pos_4_2,-52,-40,-39
"April 25, 2021 at 04:42PM",pos_4_2,-50,-46,-47
"April 25, 2021 at 04:42PM",pos_4_2,-51,-46,-41
"April 25, 2021 at 04:42PM",pos_4_2,-51,-38,-49
"April 25, 2021 at 04:42PM",pos_4_2,-50,-36,-39
"April 25, 2021 at 04:43PM",pos_4_2,-50,-51,-40
"April 25, 2021 at 04:43PM",pos_4_2,-53,-51,-49
"April 25, 2021 at 04:43PM",pos_4_2,-47,-46,-37
"April 25, 2021 at 04:43PM",pos_4_2,-48,-46,-37
"April 25, 2021 at 04:43PM",pos_4_2,-48,-36,-46
"April 25, 2021 at 04:43PM",pos_4_2,-50,-42,-52
"April 25, 2021 at 04:44PM",pos_4_2,-53,-42,-53
"April 25, 2021 at 04:44PM",pos_4_2,-50,-43,-41
"April 25, 2021 at 04:44PM",pos_4_2,-55,-42,-52
"April 25, 2021 at 04:44PM",pos_4_2,-51,-39,-40
"April 25, 2021 at 04:44PM",pos_4_2,-51,-40,-52
"April 25, 2021 at 04:45PM",pos_4_2,-54,-50,-51
"April 25, 2021 at 04:45PM",pos_4_2,-51,-37,-51
"April 25, 2021 at 04:45PM",pos_4_2,-51,-30,-50
"April 25, 2021 at 04:45PM",pos_4_2,-52,-33,-49
,pos[4.2],-49.92340424,-38.25106382,-46.64255318
